call,qso_date,time_off,freq,mode,rst_sent,comment,band,unknown
IT9JCB,20210220,1252,14.182,SSB,59,Op PD9HIX,20m,unknown
IT9RZR,20210220,2051,7.0756,FT8,-15,Opr PD9HIX,40m,unknown
IT9RZR,20210228,1513,14.0756,FT8,-03,Opr PD9HIX,20m,unknown
IU0KNS,20210220,2037,7.0756,FT8,-07,Opr PD9HIX,40m,unknown
IU1CYA,20210222,1956,7.07631,FT8,-03,pe2pvd,40m,unknown
IU3NNU,20210220,0938,7.088,SSB,unknown,bas,40m,unknown
IU5CYU,20210227,1520,10.1,FT8,-3,OPR PA3EFR,30m,unknown
IU5GVH,20210227,1521,10.1,FT8,-5,OPR PA3EFR,30m,unknown
IU5JCI,20210220,0849,7.0756,FT8,-05,Opr PD9HIX,40m,unknown
IU8JCQ,20210228,1615,14.0756,FT8,+15,Opr PD9HIX,20m,unknown
IV3SYL,20210222,2039,3.5746,FT8,-12,Opr PD9HIX,80m,unknown
IW3RPW,20210228,1049,10.1,FT8,-10,OPR PA3EFR,30m,unknown
IW8EYF,20210222,1933,7.07631,FT8,-03,pe2pvd,40m,unknown
IZ0TRL,20210222,1839,5.357,FT8,-14,OPR PA3EFR,60m,unknown
IZ0ZIP,20210222,2013,3.5746,FT8,-06,Opr PD9HIX,80m,unknown
IZ2ACR,20210220,0937,7.088,SSB,unknown,bas,40m,unknown
IZ2SXZ,20210222,2024,3.5746,FT8,-17,Opr PD9HIX,80m,unknown
IZ3KUY,20210221,1953,3.5746,FT8,-08,Opr PD9HIX,80m,unknown
IZ5AZM,20210220,2224,3.5746,FT8,-14,Opr PD9HIX,80m,unknown
IZ6BXV,20210220,2005,7.154,SSB,59,Op PD9HIX,40m,unknown
IZ8JBO,20210222,2007,7.07631,FT8,-09,pe2pvd,40m,unknown
IZ8MXE,20210220,1610,14.25,SSB,59,OPR PA3EFR,20m,unknown
IZ8OFO,20210222,1755,7.07497,FT8,-10,pe2pvd,40m,unknown
IZ8XXE,20210222,1753,7.07497,FT8,+00,pe2pvd,40m,unknown
J28PJ,20210221,1415,14.25,SSB,50,Op PD9HIX,20m,unknown
